server_site,server_city,server_latitude,server_longitude
lax10,Los Angeles,33.9425,-118.4072
lga04,New York,40.7667,-73.8667
lga05,New York,40.7667,-73.8667
lga06,New York,40.775,-73.875
lga08,New York,40.7667,-73.8667
lga09,New York,40.7667,-73.8667
lhr02,London,51.4697,-0.4514
lhr03,London,51.4697,-0.4514
lhr04,London,51.4697,-0.4514
lhr05,London,51.4697,-0.4514
lhr07,London,51.4775,-0.461389
lhr08,London,51.4697,-0.4514
lhr09,London,51.4697,-0.4514
lhr10,London,51.4697,-0.4514
lim01,Lima,-12.0219,-77.1144
lim02,Lima,-12.0219,-77.1144
lim03,Lima,-12.0219,-77.1144
lis03,Lisbon,38.7813,-9.13592
lju01,Ljubljana,46.2236,14.4575
los02,Lagos,6.5821,3.3211
maa01,Chennai,20.600792,78.96156
maa02,Chennai,20.600792,78.96156
maa03,Chennai,12.99,80.1693
mad04,Madrid,40.4719,-3.56264
mad06,Madrid,40.4667,-3.5667
mel01,Melbourne,-37.6733,144.8433
mel02,Melbourne,-37.6733,144.843
mex01,Mexico City,19.4361,-99.0719
mex02,Mexico City,19.4361,-99.0719
mex03,Mexico City,19.4361,-99.0719
mex04,Mexico City,19.4361,-99.0719
mia02,Miami,25.7932,-80.2906
mia03,Miami,25.7833,-80.2667
mia04,Miami,25.7833,-80.2667
mia05,Miami,25.7932,-80.2906
mia06,Miami,25.7833,-80.2667
mil04,Milan,45.464,9.1916
mil05,Milan,45.464,9.1916
mil06,Milan,45.464,9.1916
mil07,Milan,45.464,9.1916
mnl01,Manila,14.5086,121.0194
mnl02,Manila,14.5086,121.0194
mrs01,Marseille,43.4393,5.22142
mrs02,Marseille,43.4393,5.22142
mrs04,Marseille,43.4393,5.22142
mty01,Monterrey,25.7783,-100.1063
nbo01,Nairobi,-1.3192,36.9258
nuq03,San Francisco Bay Area,37.3833,-122.0667
nuq04,San Francisco Bay Area,37.3833,-122.0667
nuq06,San Francisco Bay Area,37.3833,-122.0667
nuq07,San Francisco Bay Area,37.3833,-122.0667
nuq08,San Francisco Bay Area,37.3833,-122.0667
oma01,Omaha,41.3,-95.895
oma02,Omaha,41.3032,-95.8941
ord02,Chicago,41.9786,-87.9047
ord03,Chicago,41.9786,-87.9047
ord04,Chicago,41.9786,-87.9047
ord06,Chicago,41.9786,-87.9047
par02,Paris,48.8584,2.349
par05,Paris,49.0097,2.54778
par07,Paris,48.8584,2.349
par08,Paris,48.8584,2.349
par09,Paris,49.0097,2.54778
pdx01,Portland,45.5886,-122.5975
per01,Perth,-31.9403,115.9669
per02,Perth,-31.9403,115.967
prg02,Prague,50.0833,14.4167
prg03,Prague,50.0833,14.4167
prg04,Prague,50.0833,14.4167
prg05,Prague,50.1008,14.26
prg06,Prague,50.0833,14.4167
scl01,Santiago,-33.3928,-70.7856
scl03,Santiago,-33.3928,-70.7856
scl06,Santiago,-33.3928,-70.7856
sea03,Seattle,47.449,-122.309
sea04,Seattle,47.449,-122.309
sea07,Seattle,47.4489,-122.3094
sea08,Seattle,47.449,-122.309
sin01,Singapore,1.355,103.988
sin02,Singapore,1.355,103.988
sin03,Singapore,1.35019,103.994
slc01,Salt Lake City,40.7883,-111.9778
slc02,Salt Lake City,40.7884,-111.978
sof01,Sofia,42.6967,23.4114
sof02,Sofia,42.695,23.4083
svg01,Stavanger,58.8767,5.6378
syd03,Sydney,-33.9461,151.177
syd04,Sydney,-33.9461,151.177
syd05,Sydney,-33.9461,151.177
syd06,Sydney,-33.9461,151.177
syd07,Sydney,-33.9461,151.177
syd08,Sydney,-33.9461,151.177
tgd01,Podgorica,42.1078,18.7616
tlv01,Tel Aviv,32.0094,34.8828
tlv02,Tel Aviv,32.0114,34.8867
tnr01,Antananarivo,-18.7969,47.4788
tpe01,Taipei,25.0778,121.224
tpe02,Taipei,25.0778,121.224
tpe03,Taipei,25.0777,121.233
trn02,Turin,45.2008,7.6497
tun01,Tunis,36.8516,10.2291
waw01,Warsaw,52.1658,20.9672
waw02,Warsaw,52.1658,20.9672
wlg02,Wellington,-41.3272,174.805
yul03,Montreal,45.4576,-73.7497
yul04,Montreal,45.4576,-73.7497
yul06,Montreal,45.4657,-73.7455
yul07,Montreal,45.4576,-73.7497
yul08,Montreal,45.4576,-73.7497
yvr02,Vancouver,49.1902,-123.1837
yvr03,Vancouver,49.1902,-123.1837
yvr04,Vancouver,49.1939,-123.184
ywg02,Winnipeg,49.906,-97.2373
yyc03,Calgary,51.1139,-114.02
yyz03,Toronto,43.6767,-79.6306
yyz04,Toronto,43.6767,-79.6306
yyz06,Toronto,43.6767,-79.6306
yyz07,Toronto,43.6767,-79.6306
yyz08,Toronto,43.6797,-79.6227
zrh02,Zurich,47.4647,8.54917
